Property_id,Property_type,Rental_price,Living_area,Price_per_living_area_unit,Bedrooms,Bathrooms,address,City
242,Apartment,515,1000,0.52,2,2,1181 Prairie Pkwy,West Fargo
252,Apartment,535,560,0.96,1,1,902 10th St W,West Fargo
156,Apartment,560,850,0.66,2,1,607 2nd St N,Fargo
246,Apartment,585,650,0.9,1,1,517 6th St E,West Fargo
248,Apartment,595,650,0.92,1,1,925 9th Ave W,West Fargo
151,Apartment,610,800,0.76,2,1,1402 25th Ave S,Fargo
334,Apartment,615,550,1.12,1,1,2549 15th St S,Fargo
333,Apartment,625,625,1,1,1,2411 30 1/2 Ave S,Fargo
309,Apartment,625,720,0.87,1,1,3012 9 1/2 St N,Fargo
49,Apartment,625,750,0.83,1,1,102 5th St E,West Fargo
89,Apartment,640,650,0.98,1,1,1015 Page Dr S,Fargo
102,Apartment,650,600,18,1,1,1502 E Gateway Cir S,Fargo
404,Apartment,650,950,0.68,2,1,1004 18th St S,Moorhead
352,Apartment,670,850,0.79,2,1,212 6th St S,Moorhead
78,Apartment,675,650,14,1,1,905 5th St N,Fargo
33,Apartment,675,850,0.79,1,1,1401 27th Ave S,Fargo
458,Apartment,675,875,0.77,1,1,1408 Oak Manor Ave S,Fargo
480,Apartment,695,595,1.17,1,1,1620 35th St S,Fargo
259,Apartment,715,650,1.1,1,1,402 5th Ave E,West Fargo
142,Apartment,725,526,1.38,1,1,506 Roberts St N,Fargo
261,Apartment,725,635,1.14,1,1,1207 1st St W,West Fargo
124,Apartment,725,800,0.91,2,1,1114 College St N,Fargo
411,Apartment,725,825,0.88,2,1,1318 34th Ave S,Moorhead
136,Apartment,725,900,0.81,2,1,1317 Broadway N,Fargo
1,Apartment,725,920,0.79,2,1,3501 11th St S,Fargo
148,Apartment,725,950,0.76,2,1,1810 14th St S,Fargo
317,Apartment,725,950,0.76,2,1,1113 19th St N,Fargo
4,Apartment,745,782,0.95,2,1,1511 & 1521 27th Ave S,Fargo
98,Apartment,749,890,0.84,2,1,1435 33rd St S,Fargo
6,Apartment,750,700,17,1,1,812 Broadway N,Fargo
134,Apartment,750,703,17,2,1,1307 13 1/2 St S,Fargo
467,Apartment,755,900,0.84,2,1,401 30th Ave N,Fargo
130,Apartment,760,789,0.96,1,1,4333 15th Ave S,Fargo
79,Apartment,760,900,0.84,2,1,2301 17th St S,Fargo
459,Apartment,795,550,1.45,1,1,720 6th Ave N,Fargo
94,Apartment,795,700,1.14,2,1,904 16th St N,Fargo
97,Apartment,800,850,0.94,2,1,4235 9th Avenue Cir S,Fargo
380,Apartment,825,720,1.15,2,1,2913 5th St S,Moorhead
382,Apartment,835,1075,0.78,2,1,2616 Country Club Pkwy,Moorhead
320,Apartment,850,696,1.22,2,1,1132 16th St N,Fargo
125,Apartment,875,900,0.97,2,1,4231 33rd Ave S,Fargo
418,Apartment,875,1087,0.8,1,1,810 4th Ave S,Moorhead
307,Apartment,885,1100,0.8,2,2,1857 35th St S,Fargo
381,Apartment,895,850,15,3,1,1011 19th St S,Moorhead
311,Apartment,895,950,0.94,2,1,102 9th St S,Fargo
496,Apartment,900,800,1.13,1,1,107 1/2 Roberts St N,Fargo
345,Apartment,900,820,1.1,3,1,921 19th St S,Moorhead
122,Apartment,905,1000,0.91,3,1,500 14th St S,Fargo
395,Apartment,910,994,0.92,2,2,905 Belsly Blvd,Moorhead
336,Apartment,930,1070,0.87,3,1,3100 33rd St S,Fargo
24,Apartment,940,899,15,1,1,2801 34th Ave S,Fargo
265,Apartment,945,747,1.27,1,1,627 15162914,West Fargo
258,Apartment,945,787,1.2,1,1,3320 3255th St,West Fargo
90,Apartment,950,750,1.27,2,1,611 9th Ave N,Fargo
400,Apartment,950,986,0.96,2,1,517 32nd Ave S,Moorhead
288,Apartment,950,1150,0.83,2,2,3246 16th Ave S,Fargo
107,Apartment,950,1192,0.8,3,2,3520 42nd St S,Fargo
